annee,co2_ppm
1900,296.0
1901,296.3333333333333
1902,296.6666666666667
1903,297.0
1904,297.3333333333333
1905,297.6666666666667
1906,298.0
1907,298.3333333333333
1908,298.6666666666667
1909,299.0
1910,299.3333333333333
1911,299.6666666666667
1912,300.0
1913,300.3333333333333
1914,300.6666666666667
1915,301.0
1916,301.3333333333333
1917,301.6666666666667
1918,302.0
1919,302.3333333333333
1920,302.6666666666667
1921,303.0
1922,303.3333333333333
1923,303.6666666666667
1924,304.0
1925,304.3333333333333
1926,304.6666666666667
1927,305.0
1928,305.3333333333333
1929,305.6666666666667
1930,306.0
1931,306.3333333333333
1932,306.6666666666667
1933,307.0
1934,307.3333333333333
1935,307.6666666666667
1936,308.0
1937,308.3333333333333
1938,308.6666666666667
1939,309.0
1940,309.3333333333333
1941,309.6666666666667
1942,310.0
1943,310.3333333333333
1944,310.6666666666667
1945,311.0
1946,311.3333333333333
1947,311.6666666666667
1948,312.0
1949,312.3333333333333
1950,312.6666666666667
1951,313.0
1952,313.3333333333333
1953,313.6666666666667
1954,314.0
1955,314.3333333333333
1956,314.6666666666667
1957,315.0
1959,315.98
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.37
1967,322.18
1968,323.05
1969,324.62
1970,325.68
1971,326.32
1972,327.46
1973,329.68
1974,330.19
1975,331.13
1976,332.03
1977,333.84
1978,335.41
1979,336.84
1980,338.76
1981,340.12
1982,341.48
1983,343.15
1984,344.87
1985,346.35
1986,347.61
1987,349.31
1988,351.69
1989,353.2
1990,354.45
1991,355.7
1992,356.54
1993,357.21
1994,358.96
1995,360.97
1996,362.74
1997,363.88
1998,366.84
1999,368.54
2000,369.71
2001,371.32
2002,373.45
2003,375.98
2004,377.7
2005,379.98
2006,382.09
2007,384.02
2008,385.83
2009,387.64
2010,390.1
2011,391.85
2012,394.06
2013,396.74
2014,398.81
2015,401.01
2016,404.41
2017,406.76
2018,408.72
2019,411.65
2020,414.21
2021,416.41
2022,418.53
2023,421.08
2024,424.61
2025,427.35
