annee,temp_moy_france,co2_ppm,industrie_energie,industrie_manufacturiere_construction,traitement_centralise_dechets,batiments_residentiel_tertiaire,agriculture,transports,emissions_naturelles,emnr,ges_total_MtCO2eq,jours_chauds_30,jours_gel,niveau_mer_brest,niveau_mer_marseille,niveau_mer_le_havre,niveau_mer_st._malo,niveau_mer_calais,niveau_mer_st._nazaire,niveau_mer_le_verdon,niveau_mer_la_rochelle_la_pallice,niveau_mer_cherbourg,niveau_mer_dunkerque,niveau_mer_st_jean_de_luz_(socoa),niveau_mer_boulogne,niveau_mer_dieppe,niveau_mer_sete,niveau_mer_toulon,niveau_mer_pointe_st._gildas,niveau_mer_port_tudy,niveau_mer_le_conquet,niveau_mer_concarneau,niveau_mer_roscoff,niveau_mer_antifer,niveau_mer_nice,niveau_mer_port_vendres,niveau_mer_les_sables_d_olonne,niveau_mer_boucau,niveau_mer_port_bloc,niveau_mer_arcachon_eyrac,niveau_mer_le_crouesty,niveau_mer_ajaccio,niveau_mer_centuri,niveau_mer_solenzara,niveau_mer_port_ferreol,niveau_mer_fos_sur_mer,niveau_mer_ile_d'aix,niveau_mer_mimizan,niveau_mer_port_la_nouvelle,niveau_mer_mm,empreinte_tCO2_hab,jour_vendanges,dommages_Mrd_USD
1900,11.504166666666668,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,265.8,
1901,10.991666666666667,,,,,,,,,,,,,-22.25,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.375,,264.73333333333335,
1902,11.104166666666666,,,,,,,,,,,,,-19.75,7.6818181818180165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.034090909090992,,265.6,
1903,11.2125,,,,,,,,,,,,,31.16666666666697,-20.83333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16666666666697,,264.6,
1904,11.883333333333333,,,,,,,,,,,,,-6.33333333333303,-9.91666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.125,,265.53333333333336,
1905,11.112499999999999,,,,,,,,,,,,,-21.33333333333303,-33.16666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.25,,264.93333333333334,
1906,12.039130434782608,,,,,,,,,,,,,-29.83333333333303,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.416666666666515,,265.6,
1907,11.254166666666668,,,,,,,,,,,,,-13.106060606060055,-42.91666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.011363636363512,,265.46666666666664,
1908,10.929166666666667,,,,,,,,,,,,,-10.25,-101.21428571428532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.73214285714266,,265.2,
1909,10.375,,,,,,,,,,,,,10.83333333333394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.83333333333394,,265.26666666666665,0.0
1910,10.466666666666667,,,,,,,,,,,,,54.83333333333394,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91666666666697,,264.8,0.0
1911,12.120833333333332,,,,,,,,,,,,,31.58333333333394,-22.33333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.625000000000455,,265.8,
1912,11.482608695652175,,,,,,,,,,,,,89.66666666666697,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.833333333333485,,265.3333333333333,
1913,10.93846153846154,,,,,,,,,,,,,113.91666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.91666666666697,,265.8666666666667,
1914,11.029166666666667,,,,,,,,,,,,,122.5,-23.66666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.416666666666515,,265.06666666666666,
1915,11.262500000000001,,,,,,,,,,,,,,13.91666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.91666666666697,,264.6666666666667,
1916,11.262500000000001,,,,,,,,,,,,,115.5,6.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0625,,265.6666666666667,
1917,10.41304347826087,,,,,,,,,,,,,22.07575757575796,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.16287878787898,,265.8,
1918,11.483333333333334,,,,,,,,,,,,,45.25,-76.16666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.458333333333485,,264.1333333333333,
1919,11.436363636363636,,,,,,,,,,,,,15.91666666666697,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.708333333333485,,264.6,
1920,9.05,,,,,,,,,,,,,58.58333333333394,-9.83333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.375000000000455,,265.2,
1921,10.652173913043478,,,,,,,,,,,,,3.66666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66666666666697,,264.8666666666667,
1922,8.9375,,,,,,,,,,,,,19.530303030303003,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6401515151515,,263.26666666666665,
1923,9.762500000000001,,,,,,,,,,,,,-8.25,-17.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.6875,,264.6666666666667,
1924,9.504166666666666,,,,,,,,,,,,,77.58333333333394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.58333333333394,,264.1333333333333,
1925,9.291666666666666,,,,,,,,,,,,,63.41666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.41666666666697,,264.4,
1926,10.229166666666666,,,,,,,,,,,,,76.08333333333394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.08333333333394,,264.06666666666666,0.0
1927,11.416666666666666,,,,,,,,,,,,,86.08333333333394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.08333333333394,,263.8666666666667,
1928,11.08918918918919,,,,,,,,,,,,,83.25,42.899999999999636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.07499999999982,,264.06666666666666,
1929,10.814583333333333,,,,,,,,,,,,,11.0,-15.227272727272975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1136363636364877,,263.93333333333334,
1930,11.05,,,,,,,,,,,,,92.66666666666697,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.708333333333485,,263.46666666666664,0.0
1931,10.19672131147541,,,,,,,,,,,,,70.0,-1.3888888888886868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.30555555555566,,264.6666666666667,
1932,10.498484848484848,,,,,,,,,,,,,71.33333333333394,0.41666666666696983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.875000000000455,,264.1333333333333,0.0
1933,10.170833333333333,,,,,,,,,,,,,56.75,54.30000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.52500000000009,,264.0,
1934,10.836458333333333,,,,,,,,,,,,,32.08333333333394,18.16666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.125000000000455,,263.8666666666667,
1935,9.898780487804878,,,,,,,,,,,,,51.75,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.125,,264.0,
1936,10.256626506024096,,,,,,,,,,,,,113.58333333333394,51.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.66666666666697,,264.3333333333333,
1937,10.858064516129032,,,,,,,,,,,,,117.8809523809523,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.69047619047615,,265.06666666666666,
1938,10.235999999999999,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,264.3333333333333,
1939,9.891176470588235,,,,,,,,,,,,,80.0,,70.83333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.41666666666652,,264.3333333333333,
1940,9.604054054054055,,,,,,,,,,,,,87.66666666666697,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.083333333333485,,264.4,0.0
1941,9.653260869565218,,,,,,,,,,,,,101.25,62.40909090909099,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,23.37987012987014,,262.93333333333334,
1942,10.070833333333333,,,,,,,,,,,,,100.41666666666697,52.41666666666697,,,-166.92857142857156,-22.0,94.0,19.892857142856883,,0.0,0.0,-5.454545454545041,,,,,,,,,,,,,,,,,,,,,,,,,8.038119288119358,,263.73333333333335,
1943,11.430208333333333,,,,,,,,,,,,,109.91666666666697,22.58333333333303,,,,,,13.742857142857247,0.0,,5.375,,,,,,,,,,,,,,,,,,,,,,,,,,30.323571428571448,,263.3333333333333,
1944,10.182978723404256,,,,,,,,,,,,,24.16666666666697,23.5,,,,,,-76.35714285714312,,,-62.75,,,,,,,,,,,,,,,,,,,,,,,,,,-22.860119047619037,,263.53333333333336,
1945,11.412087912087912,,,,,,,,,,,,,,-18.66666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.66666666666697,,263.3333333333333,
1946,10.90373831775701,,,,,,,,,,,,,,33.95454545454504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.95454545454504,,263.73333333333335,
1947,12.11880341880342,,,,,,,,,,,,,,56.772727272727025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.772727272727025,,263.6,
1948,10.973873873873876,,,,,,,,,,,,,,26.95454545454504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.95454545454504,,263.06666666666666,
1949,11.74375,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,263.8,0.0
1950,12.605882352941178,,,,,,,,,,,27.102564102564102,9.0,,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,,263.2,
1951,12.12762312633833,,,,,,,,,,,10.525,1.1,,68.92857142857156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.92857142857156,,264.46666666666664,
1952,12.236546184738955,,,,,,,,,,,25.377777777777776,4.977777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.2,
1953,12.020436507936509,,,,,,,,,,,15.2,8.133333333333333,52.75,19.100000000000364,-63.33333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.838888888889111,,262.3333333333333,
1954,11.641716566866268,,,,,,,,,,,9.488372093023257,10.69767441860465,72.91666666666697,25.83333333333303,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,32.916666666666664,,262.6,
1955,11.999257884972172,,,,,,,,,,,11.195652173913043,3.4130434782608696,121.33333333333394,82.0,,,,,,,,,,,11.58333333333303,,,,,,,,,,,,,,,,,,,,,,,,71.63888888888899,,263.8,
1956,10.521442125237192,,,,,,,,,,,5.869565217391305,15.717391304347826,34.41666666666697,50.16666666666697,,,,,,,,-22.25,,,28.58333333333303,,,,,,,,,,,,,,,,,,,,,,,,22.729166666666742,,264.2,
1957,11.90967741935484,,,,,,,,,,,13.020833333333334,3.8333333333333335,78.08333333333394,70.08333333333303,,,,-122.83333333333303,,,,56.66666666666697,,,163.33333333333303,,,,,,,,,,,,,,,,,,,,,,,,49.06666666666679,,263.6,
1958,11.686823104693142,,,,,,,,,,,8.297872340425531,2.8297872340425534,102.33333333333394,111.58333333333303,,,,,,,,75.02777777777737,,,87.25,,,,,,,,,,,,,,,,,,,,,,,,94.04861111111109,,262.8666666666667,0.0
1959,12.915349544072948,315.98,,,,,,,,,,20.964912280701753,1.8596491228070176,101.41666666666697,137.5,,,,,,,,75.83333333333303,,,111.83333333333303,,,,,,,,,,,,,0.0,,,,,,,,,,,85.3166666666666,,263.53333333333336,
1960,12.120512820512822,316.91,,,,,,,,,,7.370967741935484,6.935483870967742,168.41666666666697,116.83333333333303,,,,,,,,102.0,,,104.58333333333303,,,,,,,,,,,,,36.375,,,,,,,,,,,105.64166666666661,,262.73333333333335,
1961,12.991690140845071,317.64,,,,,,,,,,21.39344262295082,4.065573770491803,127.41666666666697,70.94444444444434,,,,,,,,83.66666666666697,,,40.25,,0.0,,,,,,,,,,,-5.625,,,,,,,,,,,52.77546296296305,,261.6666666666667,0.0
1962,11.33233173076923,318.45,,,,,,,,,,16.575342465753426,8.547945205479452,76.0,55.83333333333303,,,,-22.83333333333303,,,,61.125,,,103.76515151515105,,-39.33333333333394,,,,,,,,,,,-74.02499999999964,,,,,,,,,,,22.93311688311678,,262.46666666666664,
1963,11.047835738068812,318.99,,,,,,,,,,8.473684210526315,21.026315789473685,109.83333333333394,95.5,-16.58333333333303,,,,,,-8.15555555555602,111.97727272727298,,,102.83333333333303,,-10.66666666666697,,,,,,,,,,,28.375,,,,,,,,,,,51.63917297979799,,262.2,
1964,11.988519313304721,319.62,,,,,,,,,,19.7875,7.3,44.25,53.5,-52.41666666666697,,,,,,,33.61363636363603,16.300000000000182,,52.08333333333303,,-78.75,0.0,,,,,,,,,,-39.29166666666697,,,,,,,,,,,3.2542929292928116,,263.2,
1965,11.579278350515464,320.04,,,,,,,,,,9.341463414634147,2.6951219512195124,115.91666666666697,72.41666666666697,,,-27.72857142857174,15.66666666666697,,,,190.75,3.100000000000364,,139.41666666666606,,-24.5,40.08333333333303,,,,,,,,0.0,,-3.079545454545041,,,,,,,,,,,47.45835301062578,,262.3333333333333,
1966,12.361957525392429,321.37,,,,,,,,,,10.417582417582418,5.241758241758242,175.16666666666697,92.66666666666697,,,-86.70129870129858,88.83333333333394,,,,104.83333333333303,99.58333333333303,,165.33333333333303,,-3.25,190.5,0.0,,,,,,,,,25.875,,,,,,,,,,,77.53094254230622,,263.1333333333333,
1967,12.195811051693406,322.18,,,,,,,,,,17.541666666666668,6.052083333333333,110.0,46.08333333333303,,,-115.51190476190459,28.25,107.16666666666697,98.14285714285688,,95.25,35.5,,166.66666666666606,,-53.58333333333394,72.10000000000036,63.33333333333303,,,,,,,-10.33333333333394,0.0,42.20833333333303,0.0,,,,,,,,,,42.829538690476056,,262.6,0.188072
1968,11.85,323.05,,,,,,,,,,7.9787234042553195,6.202127659574468,148.25,62.83333333333303,-13.0,,-124.67857142857156,63.75,146.36363636363603,182.14285714285688,,149.0,116.75,,105.5,,12.58333333333303,80.66666666666697,,,,,,,,,46.485714285714494,95.875,101.0,,,,,,,,,,78.23479797979793,,262.26666666666665,
1969,11.689661482159194,324.62,,,,,,,,,,12.728260869565217,9.391304347826088,138.33333333333394,87.5,,,-51.84523809523853,59.91666666666697,159.83333333333303,135.89285714285688,,102.34090909090901,89.16666666666697,,146.75,,,85.22727272727298,136.33333333333303,,,,,,,,83.53571428571468,68.51785714285688,,,,,,,,,,,95.50020812520815,,261.8,0.0
1970,11.865037593984962,325.68,,,,,,,,,,12.709677419354838,7.043010752688172,93.58333333333394,46.75,,,-8.428571428571558,40.75,100.875,103.74285714285725,,89.33333333333303,50.58333333333303,,188.33333333333303,,,52.13636363636397,-76.66666666666697,,,,,,,,71.3690476190477,-10.95833333333303,-15.16666666666697,,,,,,,,,,51.87402597402596,,262.4,0.0
1971,11.850566037735849,326.32,,,,,,,,,,16.033333333333335,6.0777777777777775,77.83333333333394,56.30000000000018,-148.0,,-61.17857142857156,-6.0,5.0,24.142857142856883,,40.25,61.58333333333303,,82.0,,,25.25,,0.0,0.0,,,,,,3.8690476190477057,-59.0,-74.0,,,,,,,,,,1.7531250000000114,,262.46666666666664,
1972,11.4941504178273,327.46,,,,,,,,,,7.543478260869565,4.184782608695652,101.0,83.08333333333303,-11.727272727272975,,-50.84523809523853,-1.4166666666660603,101.0,55.80952380952385,,90.52272727272702,45.66666666666697,,103.25,,,17.5,,-12.58333333333394,,,,,,,,-11.910714285714675,,,,,,,,,,,39.18069430569421,,262.1333333333333,
1973,11.756595365418894,329.68,,,,,,,,,,21.189473684210526,4.189473684210526,51.16666666666697,36.58333333333303,-16.91666666666697,,-60.26190476190459,-54.66666666666606,-11.91666666666697,18.77922077922085,,85.58333333333303,-4.41666666666697,178.75,91.66666666666606,,10.58333333333303,-19.41666666666697,,-33.75,-77.83333333333303,0.0,,,,,,-124.79166666666697,,,,,,,,0.0,,,3.8412397787396912,,262.26666666666665,
1974,12.0644128113879,330.19,,,,,,,,,,14.287234042553191,0.24468085106382978,102.41666666666697,51.08333333333303,42.41666666666697,,-85.84523809523853,6.16666666666697,29.5,49.64285714285688,75.0666666666666,86.85000000000036,39.08333333333303,153.66666666666697,178.98333333333267,,,29.66666666666697,,1.7878787878780713,,41.33333333333303,0.0,,,,,-83.45833333333303,,,,,,,,-16.857142857143117,,,38.97240860990855,,261.3333333333333,
1975,11.997121083827265,331.13,,,,,,,,,,17.78,2.23,54.83333333333394,24.16666666666697,-8.75,,-125.42857142857156,-17.33333333333303,31.0,57.47619047618991,22.566666666666606,75.25,87.09090909090901,89.57142857142844,150.85606060606005,,,7.08333333333303,-31.46666666666715,-10.58333333333394,,27.972222222222626,31.0,,,,,-80.70833333333303,,,,,,,,,,,21.36647627064288,,262.26666666666665,
1976,12.23325,332.03,,,,,,,,,,25.823529411764707,4.372549019607843,78.33333333333394,58.66666666666697,-13.5,,-138.0119047619046,0.5833333333339397,145.33333333333303,48.47619047618991,78.3166666666666,59.61363636363603,50.41666666666697,107.75,177.16666666666606,,,22.91666666666697,-7.848484848484986,-18.58333333333394,,-3.4444444444443434,63.83333333333303,,,,1.6857142857143117,32.375,,,,,,,,,,,39.16205475810737,,261.8,
1977,12.032303839732888,333.84,,,,,,,,,,3.78,1.84,118.75,74.08333333333303,41.58333333333303,,-87.26190476190459,47.75,118.91666666666697,141.4761904761899,79.39999999999964,119.16666666666697,30.727272727272975,173.83333333333303,232.75,,,73.75,25.233333333332666,37.41666666666606,,79.30555555555566,55.30000000000018,,,,32.785714285714675,6.125,,,,,0.0,,,,,,70.05455808080801,,262.3333333333333,0.0
1978,11.482453416149069,335.41,,,,,,,,,,8.256880733944953,5.1192660550458715,91.75,75.16666666666697,49.33333333333303,,-108.01190476190459,134.91666666666697,,95.72619047618991,91.0666666666666,113.34090909090901,49.58333333333303,151.909090909091,248.16666666666606,,,47.16666666666697,4.58333333333303,20.16666666666606,,80.10101010101062,23.58333333333303,0.0,,,54.535714285714675,,,,,,,,,,,,67.9491301907968,,262.8,0.0
1979,11.687195600942655,336.84,,,,,,,,,,11.934579439252337,6.785046728971962,104.0,86.66666666666697,77.91666666666697,,-140.80357142857156,51.08333333333394,,119.80952380952385,49.12727272727261,117.61363636363603,65.16666666666697,146.19999999999982,200.1833333333334,,,64.25,17.33333333333303,38.08333333333303,,98.13888888888869,55.5,113.31818181818198,,,53.119047619047706,,,,,,,,,,,,73.15035072951741,,261.1333333333333,0.0
1980,11.29413654618474,338.76,,,,,,,,,,8.761904761904763,6.752380952380952,88.76666666666733,54.5,58.83333333333303,,-124.30357142857156,20.484848484848953,,,24.233333333332666,101.25,47.16666666666697,149.83333333333303,152.67424242424204,,,66.75,16.16666666666606,39.08333333333303,,67.80555555555566,-9.399999999999636,97.04545454545496,,,25.202380952381645,,,,,,,,,,,,51.534837874543776,,262.2,0.0
1981,11.949333333333334,340.12,,,,,,,,,,13.280373831775702,3.6448598130841123,113.41666666666697,41.0,74.08333333333303,,-127.70129870129858,45.16666666666697,,,13.983333333332666,138.91666666666697,32.25,161.0,249.83333333333303,,-33.25,66.33333333333303,26.5,65.75,,76.55555555555566,14.66666666666697,73.91666666666697,,,-3.6309523809522943,,,,0.0,,,,,,,,54.14684058631428,,261.8666666666667,0.0
1982,12.671604938271606,341.48,,,,,,,,,,18.513761467889907,4.055045871559633,121.25757575757598,46.41666666666697,44.08333333333303,,-107.51190476190459,,,,71.23333333333267,156.35000000000036,80.58333333333303,199.0,200.83333333333303,,-80.01666666666733,93.75,30.66666666666606,28.66666666666606,,109.63888888888869,22.800000000000182,70.0,0.0,,15.376623376623684,,,,-47.69999999999982,,,,,105.14285714285688,,,58.02853535353525,,261.1333333333333,1.137732
1983,12.360562310030396,343.15,,,,,,,,,,22.882882882882882,4.513513513513513,129.83333333333394,61.08333333333303,81.09090909090901,,-161.02857142857192,98.83333333333394,,,69.5666666666666,146.66666666666697,104.83333333333303,196.30000000000018,225.76515151515105,,,93.0,39.5,30.75,,112.63888888888869,,77.16666666666697,,,22.869047619047706,,,,,,,,,,,,83.05429743867245,,261.0,1.919612
1984,11.661634805537245,344.87,,,,,,,,,,12.68503937007874,1.6771653543307086,123.75,47.227272727272975,21.5,,,28.25,,,68.8166666666666,107.64999999999964,66.41666666666697,140.28571428571468,249.310606060606,,72.58333333333303,65.5,30.41666666666606,23.16666666666606,,127.44444444444434,,67.75,27.41666666666697,,-14.047619047618355,,,,,,,,,,,,73.73159324335793,,261.6,0.0
1985,11.335122897800776,346.35,,,,,,,,,,15.822222222222223,16.785185185185185,134.08333333333394,51.86363636363603,81.58333333333303,,,33.0,,,52.233333333332666,148.125,69.08333333333303,174.72727272727298,208.58333333333303,,,46.33333333333303,28.33333333333303,31.444444444444343,,92.47222222222263,,72.66666666666697,28.91666666666697,,21.202380952381645,,,,,,,,,,,,79.66572646103896,,261.6,0.0
1986,11.703223880597015,347.61,,,,,,,,,,15.75,7.635135135135135,108.91666666666697,52.25,33.90909090909099,0.0,,28.41666666666697,,,44.233333333332666,123.33333333333303,49.30000000000018,142.66666666666697,,,,-26.625,1.0833333333330302,-4.66666666666697,,65.64646464646466,,74.91666666666697,36.66666666666697,,-14.297619047618355,,,,,,,,,,,,44.734350198412756,,261.1333333333333,0.0
