annee,niveau_mer_brest,niveau_mer_marseille,niveau_mer_le_havre,niveau_mer_st._malo,niveau_mer_calais,niveau_mer_st._nazaire,niveau_mer_le_verdon,niveau_mer_la_rochelle_la_pallice,niveau_mer_cherbourg,niveau_mer_dunkerque,niveau_mer_st_jean_de_luz_(socoa),niveau_mer_boulogne,niveau_mer_dieppe,niveau_mer_sete,niveau_mer_toulon,niveau_mer_pointe_st._gildas,niveau_mer_port_tudy,niveau_mer_le_conquet,niveau_mer_concarneau,niveau_mer_roscoff,niveau_mer_antifer,niveau_mer_nice,niveau_mer_port_vendres,niveau_mer_les_sables_d_olonne,niveau_mer_boucau,niveau_mer_port_bloc,niveau_mer_arcachon_eyrac,niveau_mer_le_crouesty,niveau_mer_ajaccio,niveau_mer_centuri,niveau_mer_solenzara,niveau_mer_port_ferreol,niveau_mer_fos_sur_mer,niveau_mer_ile_d'aix,niveau_mer_mimizan,niveau_mer_port_la_nouvelle,niveau_mer_mm
1900,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1901,-22.25,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.375
1902,-19.75,7.6818181818180165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.034090909090992
1903,31.16666666666697,-20.83333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16666666666697
1904,-6.33333333333303,-9.91666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.125
1905,-21.33333333333303,-33.16666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.25
1906,-29.83333333333303,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.416666666666515
1907,-13.106060606060055,-42.91666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.011363636363512
1908,-10.25,-101.21428571428532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.73214285714266
1909,10.83333333333394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.83333333333394
1910,54.83333333333394,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91666666666697
1911,31.58333333333394,-22.33333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.625000000000455
1912,89.66666666666697,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.833333333333485
1913,113.91666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.91666666666697
1914,122.5,-23.66666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.416666666666515
1916,115.5,6.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0625
1917,22.07575757575796,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.16287878787898
1918,45.25,-76.16666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.458333333333485
1919,15.91666666666697,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.708333333333485
1920,58.58333333333394,-9.83333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.375000000000455
1921,3.66666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66666666666697
1922,19.530303030303003,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6401515151515
1923,-8.25,-17.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.6875
1924,77.58333333333394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.58333333333394
1925,63.41666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.41666666666697
1926,76.08333333333394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.08333333333394
1927,86.08333333333394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.08333333333394
1928,83.25,42.899999999999636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.07499999999982
1929,11.0,-15.227272727272975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1136363636364877
1930,92.66666666666697,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.708333333333485
1931,70.0,-1.3888888888886868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.30555555555566
1932,71.33333333333394,0.41666666666696983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.875000000000455
1933,56.75,54.30000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.52500000000009
1934,32.08333333333394,18.16666666666697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.125000000000455
1935,51.75,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.125
1936,113.58333333333394,51.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.66666666666697
1937,117.8809523809523,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.69047619047615
1939,80.0,,70.83333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.41666666666652
1940,87.66666666666697,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.083333333333485
1941,101.25,62.40909090909099,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,23.37987012987014
1942,100.41666666666697,52.41666666666697,,,-166.92857142857156,-22.0,94.0,19.892857142856883,,0.0,0.0,-5.454545454545041,,,,,,,,,,,,,,,,,,,,,,,,,8.038119288119358
1943,109.91666666666697,22.58333333333303,,,,,,13.742857142857247,0.0,,5.375,,,,,,,,,,,,,,,,,,,,,,,,,,30.323571428571448
1944,24.16666666666697,23.5,,,,,,-76.35714285714312,,,-62.75,,,,,,,,,,,,,,,,,,,,,,,,,,-22.860119047619037
1953,52.75,19.100000000000364,-63.33333333333303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.838888888889111
1954,72.91666666666697,25.83333333333303,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,32.916666666666664
1955,121.33333333333394,82.0,,,,,,,,,,,11.58333333333303,,,,,,,,,,,,,,,,,,,,,,,,71.63888888888899
1956,34.41666666666697,50.16666666666697,,,,,,,,-22.25,,,28.58333333333303,,,,,,,,,,,,,,,,,,,,,,,,22.729166666666742
1957,78.08333333333394,70.08333333333303,,,,-122.83333333333303,,,,56.66666666666697,,,163.33333333333303,,,,,,,,,,,,,,,,,,,,,,,,49.06666666666679
1958,102.33333333333394,111.58333333333303,,,,,,,,75.02777777777737,,,87.25,,,,,,,,,,,,,,,,,,,,,,,,94.04861111111109
1959,101.41666666666697,137.5,,,,,,,,75.83333333333303,,,111.83333333333303,,,,,,,,,,,,,0.0,,,,,,,,,,,85.3166666666666
1960,168.41666666666697,116.83333333333303,,,,,,,,102.0,,,104.58333333333303,,,,,,,,,,,,,36.375,,,,,,,,,,,105.64166666666661
1961,127.41666666666697,70.94444444444434,,,,,,,,83.66666666666697,,,40.25,,0.0,,,,,,,,,,,-5.625,,,,,,,,,,,52.77546296296305
1962,76.0,55.83333333333303,,,,-22.83333333333303,,,,61.125,,,103.76515151515105,,-39.33333333333394,,,,,,,,,,,-74.02499999999964,,,,,,,,,,,22.93311688311678
1963,109.83333333333394,95.5,-16.58333333333303,,,,,,-8.15555555555602,111.97727272727298,,,102.83333333333303,,-10.66666666666697,,,,,,,,,,,28.375,,,,,,,,,,,51.63917297979799
1964,44.25,53.5,-52.41666666666697,,,,,,,33.61363636363603,16.300000000000182,,52.08333333333303,,-78.75,0.0,,,,,,,,,,-39.29166666666697,,,,,,,,,,,3.2542929292928116
1965,115.91666666666697,72.41666666666697,,,-27.72857142857174,15.66666666666697,,,,190.75,3.100000000000364,,139.41666666666606,,-24.5,40.08333333333303,,,,,,,,0.0,,-3.079545454545041,,,,,,,,,,,47.45835301062578
1966,175.16666666666697,92.66666666666697,,,-86.70129870129858,88.83333333333394,,,,104.83333333333303,99.58333333333303,,165.33333333333303,,-3.25,190.5,0.0,,,,,,,,,25.875,,,,,,,,,,,77.53094254230622
1967,110.0,46.08333333333303,,,-115.51190476190459,28.25,107.16666666666697,98.14285714285688,,95.25,35.5,,166.66666666666606,,-53.58333333333394,72.10000000000036,63.33333333333303,,,,,,,-10.33333333333394,0.0,42.20833333333303,0.0,,,,,,,,,,42.829538690476056
1968,148.25,62.83333333333303,-13.0,,-124.67857142857156,63.75,146.36363636363603,182.14285714285688,,149.0,116.75,,105.5,,12.58333333333303,80.66666666666697,,,,,,,,,46.485714285714494,95.875,101.0,,,,,,,,,,78.23479797979793
1969,138.33333333333394,87.5,,,-51.84523809523853,59.91666666666697,159.83333333333303,135.89285714285688,,102.34090909090901,89.16666666666697,,146.75,,,85.22727272727298,136.33333333333303,,,,,,,,83.53571428571468,68.51785714285688,,,,,,,,,,,95.50020812520815
1970,93.58333333333394,46.75,,,-8.428571428571558,40.75,100.875,103.74285714285725,,89.33333333333303,50.58333333333303,,188.33333333333303,,,52.13636363636397,-76.66666666666697,,,,,,,,71.3690476190477,-10.95833333333303,-15.16666666666697,,,,,,,,,,51.87402597402596
