ds,annee,yhat,yhat_lower,yhat_upper
1959-01-01,1959,316.1386026645,315.5415406642982,316.67700777882413
1960-01-01,1960,316.8570035523276,316.2873561315593,317.43202239291185
1961-01-01,1961,317.5773726617657,317.0739792724943,318.11279918518517
1962-01-01,1962,318.2584481263121,317.67980196966005,318.8026826882447
1963-01-01,1963,318.93952359085836,318.36866728717956,319.4850267984271
1964-01-01,1964,319.6205915860387,319.0760664517367,320.171236358011
1965-01-01,1965,320.30352552093194,319.76680077569705,320.88204754208596
1966-01-01,1966,321.2457511180108,320.65562702658104,321.75822803255767
1967-01-01,1967,322.18797671508963,321.6380785259627,322.75710074257125
1968-01-01,1968,323.30165359202795,322.76832924992453,323.870004129697
1969-01-01,1969,324.4183816384921,323.8674467358607,324.98003033260386
1970-01-01,1970,325.5320585153702,324.9916349047597,326.0545756905282
1971-01-01,1971,326.6457353922482,326.0897829470631,327.18779780618866
1972-01-01,1972,327.80043883430216,327.20897104516695,328.34249769268854
1973-01-01,1973,328.9583058474303,328.3860035850514,329.5447489735991
1974-01-01,1974,330.11300928948435,329.57594065332984,330.6681286683931
1975-01-01,1975,331.2028476993238,330.63378569625337,331.740146774587
1976-01-01,1976,332.29268610916324,331.7582528850322,332.81087854450607
1977-01-01,1977,333.85069885174056,333.3325950885199,334.39919864769763
1978-01-01,1978,335.40445472890093,334.8682967080454,335.93662095109005
1979-01-01,1979,336.9582106137214,336.4265876521732,337.4673088031936
1980-01-01,1980,338.5119664985418,337.9550774273133,339.1208960358732
1981-01-01,1981,340.0699792419875,339.53602095785675,340.6235745209137
1982-01-01,1982,341.6237351200139,341.08953460363614,342.12119223709135
1983-01-01,1983,343.177490992548,342.6327881619702,343.7297020185388
1984-01-01,1984,344.73124686508197,344.17664615116826,345.2554837171658
1985-01-01,1985,346.28925960465165,345.7044712258803,346.85398591576154
1986-01-01,1986,347.8430154788127,347.27253649876434,348.4065560261156
1987-01-01,1987,349.63315688574954,349.0760936227421,350.1817774632937
1988-01-01,1988,351.4232982926864,350.9074814000893,351.9613335478937
1989-01-01,1989,352.9198874747287,352.3795531922145,353.4619013228431
1990-01-01,1990,354.41238761529,353.8560469592722,354.95696946503415
1991-01-01,1991,355.52498129582904,354.99559021674776,356.0801878131476
1992-01-01,1992,356.63757497636806,356.0981115631722,357.1703308481103
1993-01-01,1993,357.7580390683174,357.19034296241267,358.34682991622424
1994-01-01,1994,358.8754417829662,358.34422072964094,359.4426834341044
1995-01-01,1995,360.7443687659535,360.18990885637004,361.3141387539439
1996-01-01,1996,362.61329574894074,362.09120250595646,363.184621577313
1997-01-01,1997,364.48734308604077,363.93043177865,365.0406648571019
1998-01-01,1998,366.35627007522515,365.79779785570696,366.9163915930304
1999-01-01,1999,368.2251970644095,367.6836915405027,368.7246940756162
2000-01-01,2000,369.8865841486582,369.3667349895707,370.4083471870279
2001-01-01,2001,371.5525229783433,371.0129578832971,372.1171572418933
2002-01-01,2002,373.641561809061,373.09554537284583,374.25695054810325
2003-01-01,2003,375.7306006397788,375.12430945692734,376.3106154061315
2004-01-01,2004,377.8196394584522,377.32250865220243,378.39276570272096
2005-01-01,2005,379.91440167114934,379.33520514856673,380.4929541638329
2006-01-01,2006,381.9429589365215,381.4311071109102,382.48213717081893
2007-01-01,2007,383.9715162018938,383.44538486343487,384.54312966053044
2008-01-01,2008,385.87547906386766,385.31319703058944,386.4236989908953
2009-01-01,2009,387.7846582624497,387.2083500694397,388.33000804460016
2010-01-01,2010,389.6886211133314,389.1587630412262,390.2580249059518
2011-01-01,2011,391.5925839642132,391.07849881351615,392.14372129575486
2012-01-01,2012,394.09225676529815,393.548679071487,394.62293446315675
2013-01-01,2013,396.59877798501617,396.02989857126903,397.1747635794599
2014-01-01,2014,399.0984507861012,398.53768407614336,399.62475593107837
2015-01-01,2015,401.5981235871861,401.0292203575658,402.10230273805035
2016-01-01,2016,404.097796388271,403.5506857696293,404.608302780642
2017-01-01,2017,406.604317607989,406.0207294302048,407.1185871281053
2018-01-01,2018,409.10399040907396,408.5680740284505,409.6058812858431
2019-01-01,2019,411.6036632101589,411.04248293675766,412.172796138568
