ds,annee,yhat,yhat_lower,yhat_upper
1990-01-01,1990,11.386105896519284,10.535564662467383,12.283461529527582
1991-01-01,1991,11.42380573287191,10.535511667005844,12.263038984602078
1992-01-01,1992,11.461505569231715,10.568637463238844,12.377258607750491
1993-01-01,1993,11.49930869289473,10.596811622999075,12.390968246460492
1994-01-01,1994,11.537008529332423,10.664771452467155,12.36342445798771
1995-01-01,1995,11.574722399444783,10.684789834418213,12.441855228602808
1996-01-01,1996,11.612436270010413,10.751266129834018,12.525936469063495
1997-01-01,1997,11.650253467829653,10.793056184276445,12.520099299689347
1998-01-01,1998,11.687967339971792,10.850641090691044,12.570817629084468
1999-01-01,1999,11.725681212081053,10.830591022220172,12.551872760576387
2000-01-01,2000,11.763395084168327,10.894945090041633,12.587192956934972
2001-01-01,2001,11.801212281946935,10.889994157494302,12.648801639357021
2002-01-01,2002,11.83892615405212,10.919945124157676,12.667524695588
2003-01-01,2003,11.876640026206424,11.09071168175964,12.785534331909915
2004-01-01,2004,11.914353898278366,11.037399998426851,12.765746700296255
2005-01-01,2005,11.952112464633293,11.042606927195525,12.81535280089127
2006-01-01,2006,11.989653321265436,11.135026026320062,12.814435750537012
2007-01-01,2007,12.027054454467676,11.171875335658584,12.925132124468426
2008-01-01,2008,11.822146104603808,10.954674657076108,12.652521464466707
2009-01-01,2009,11.607670868952304,10.714572977273635,12.512988290793224
2010-01-01,2010,11.393539846707954,10.503212370388937,12.238404575175231
2011-01-01,2011,11.179408824463607,10.330163268173521,12.013018770798434
2012-01-01,2012,10.965208396161648,10.084236049381008,11.84875537515526
2013-01-01,2013,10.750421117068019,9.876766612356413,11.629894799742186
2014-01-01,2014,10.536220688409667,9.682924318121719,11.367888505488022
2015-01-01,2015,10.32202025966129,9.518288135655347,11.148971876823234
2016-01-01,2016,10.107819830972602,9.215796794658853,10.962873306620931
2017-01-01,2017,9.893032551828888,9.094382984078777,10.76932118912687
2018-01-01,2018,9.678832123109167,8.787326993887449,10.525916512933405
2019-01-01,2019,9.464631694389446,8.550226748732381,10.29648200040416
2020-01-01,2020,9.250431265669723,8.383101105192736,10.061437517583947
2021-01-01,2021,9.035643986460359,8.191590779121714,9.915785133292589
2022-01-01,2022,8.821443557740636,7.93087535852307,9.627456673438738
2023-01-01,2023,8.607243129020915,7.659816594130746,9.440064385290098
2024-01-01,2024,8.393042700301192,7.556498850891151,9.1945109092318
2025-01-01,2025,8.178255421091828,7.355297115625858,8.9983561829541
2026-01-01,2026,7.964054992372106,7.128619365334187,8.776279106065745
2027-01-01,2027,7.749854563652386,6.817872872761916,8.657980175322088
2028-01-01,2028,7.5356541349326625,6.705496247868284,8.423356295230448
2029-01-01,2029,7.320866855723297,6.417870522218281,8.210217650168639
2030-01-01,2030,7.106666427003575,6.21344928518047,7.915925411067894
2031-01-01,2031,6.892465998283854,5.954141458526984,7.767446312101318
2032-01-01,2032,6.6782655695641315,5.765940220860972,7.624375599635863
2033-01-01,2033,6.463478290354766,5.559172003179368,7.392485921136944
2034-01-01,2034,6.249277861635045,5.335800412610491,7.230221302747465
2035-01-01,2035,6.035077432915323,5.0350355229640185,7.034625683508889
2036-01-01,2036,5.820877004195601,4.734170597274299,6.798659228405687
2037-01-01,2037,5.606089724986236,4.588289907336256,6.634381983162556
2038-01-01,2038,5.391889296266514,4.26223818617714,6.534915133482912
2039-01-01,2039,5.1776888675467925,4.020023555498559,6.268740364050942
2040-01-01,2040,4.963488438827071,3.6925267853242065,6.133858652218351
2041-01-01,2041,4.748701159617705,3.3984277420616795,6.026273534178267
2042-01-01,2042,4.5345007308979834,3.206867878420443,5.869485804739222
2043-01-01,2043,4.3203003021782616,2.844388763582866,5.769222371541224
2044-01-01,2044,4.106099873458541,2.408188532661254,5.628226606421478
2045-01-01,2045,3.891312594249176,2.2417955733672574,5.275785521823528
2046-01-01,2046,3.677112165529453,2.123692576960542,5.33060234663728
2047-01-01,2047,3.462911736809731,1.7276741929403239,5.046620159800116
2048-01-01,2048,3.2487113080900105,1.5360426657284167,5.05007345880518
2049-01-01,2049,3.0339240288806453,1.2256031734019857,4.811179736640678
2050-01-01,2050,2.8197236001609234,0.858592871699065,4.693452068378072
2051-01-01,2051,2.605523171441203,0.4039433821552932,4.639490433628868
2052-01-01,2052,2.3913227427214796,0.2351591080827558,4.370427913471295
2053-01-01,2053,2.1765354635121157,-0.12695133989912225,4.341558329937247
2054-01-01,2054,1.9623350347923925,-0.42337165167289115,4.2757121966408365
2055-01-01,2055,1.748134606072672,-0.7913207454544361,4.1575542098307485
2056-01-01,2056,1.5339341773529487,-1.3274447369086004,3.978481823639216
2057-01-01,2057,1.3191468981435848,-1.7154266966671554,3.8698810585918273
2058-01-01,2058,1.1049464694238615,-1.7741466044995657,3.6873882099270903
2059-01-01,2059,0.890746040704141,-2.2724137497214536,3.671226516192644
2060-01-01,2060,0.6765456119844176,-2.466406840237578,3.516220811878856
2061-01-01,2061,0.46175833277505385,-2.8477885255879385,3.544834676520056
2062-01-01,2062,0.24755790405533054,-3.2742932552146233,3.2153917686662
2063-01-01,2063,0.03335747533561005,-3.5419840080115517,3.3150587890562155
2064-01-01,2064,-0.18084295338411044,-4.071360736825736,3.14273039849802
2065-01-01,2065,-0.39563023259347707,-4.368652149250769,3.222443877651253
2066-01-01,2066,-0.6098306613132004,-4.609437213700547,2.8743342831961805
2067-01-01,2067,-0.8240310900329209,-4.910935071986203,2.9115379016777365
2068-01-01,2068,-1.0382315187526414,-5.422271217458739,2.739103567354967
2069-01-01,2069,-1.253018797962008,-5.658711966511233,2.8544403137357337
2070-01-01,2070,-1.4672192266817314,-6.376776126864628,2.7754873499340054
2071-01-01,2071,-1.6814196554014518,-6.462360649127496,2.5464694147343834
2072-01-01,2072,-1.8956200841211723,-6.81204919951074,2.4172707130813595
2073-01-01,2073,-2.110407363330539,-7.358450080802974,2.4604649963311167
2074-01-01,2074,-2.3246077920502595,-7.7173468089898165,2.2205763743036804
2075-01-01,2075,-2.5388082207699827,-8.003268236733994,2.3437143837201067
2076-01-01,2076,-2.7530086494897033,-8.226819601420498,1.8979037231893918
2077-01-01,2077,-2.96779592869907,-8.757176910421721,2.1528086898963887
2078-01-01,2078,-3.1819963574187904,-8.9720990494941,1.7906955795388757
2079-01-01,2079,-3.3961967861385136,-9.459013276514343,1.705624228799632
2080-01-01,2080,-3.610397214858234,-9.9388850086661,1.8577968182111397
2081-01-01,2081,-3.8251844940676007,-10.166405904233581,1.6448561666585315
2082-01-01,2082,-4.039384922787321,-10.784631695155632,1.6273039852760076
2083-01-01,2083,-4.253585351507045,-11.109342210007734,1.7635827302001406
2084-01-01,2084,-4.467785780226765,-11.55116982192928,1.357913664859196
2085-01-01,2085,-4.682573059436132,-11.73145637202258,1.459762340208259
2086-01-01,2086,-4.896773488155852,-12.2700981371058,1.4281820464001702
2087-01-01,2087,-5.110973916875576,-12.669351730673402,1.2211491471704796
2088-01-01,2088,-5.325174345595296,-13.17611122752529,1.2325431289595496
2089-01-01,2089,-5.539961624804663,-13.790064263878019,1.1235420194345154
2090-01-01,2090,-5.754162053524383,-13.924314848188608,1.0826961815366785
2091-01-01,2091,-5.968362482244104,-14.475533467900236,1.2326414336907119
2092-01-01,2092,-6.182562910963827,-14.949048642470778,0.8515385822264412
2093-01-01,2093,-6.397350190173194,-15.412225001498062,0.9168818384993296
2094-01-01,2094,-6.611550618892914,-15.72614250341972,0.9902005552473091
2095-01-01,2095,-6.825751047612635,-16.13690787109558,0.6832722892741562
2096-01-01,2096,-7.039951476332358,-16.812721318938742,0.7003426445872899
2097-01-01,2097,-7.254738755541722,-17.01463715114311,0.5959259161331514
2098-01-01,2098,-7.468939184261445,-17.474117037885755,0.7032164107147957
2099-01-01,2099,-7.683139612981166,-17.957273451338853,0.6419697384813656
2100-01-01,2100,-7.897340041700889,-18.268779815430037,0.6149597180646953
