ds,annee,yhat,yhat_lower,yhat_upper
1900-01-01,1900,265.30177710133336,264.2929733155007,266.3303180525604
1901-01-01,1901,265.3024611240385,264.2313749745247,266.30066357921913
1902-01-01,1902,265.3031451467436,264.2444478131746,266.3840393361602
1903-01-01,1903,265.3038291694487,264.27206710652484,266.3359529930265
1904-01-01,1904,265.3045131921538,264.30442591510905,266.2972434613439
1905-01-01,1905,265.305199116905,264.30549584751833,266.30336805298833
1906-01-01,1906,265.30588316754483,264.2840049890963,266.36681224282563
1907-01-01,1907,265.3065672181846,264.26676138360824,266.32240946576064
1908-01-01,1908,265.3072512688245,264.28516293908774,266.35829999238587
1909-01-01,1909,265.3079371505557,264.1826427477772,266.38653045097544
1910-01-01,1910,265.30862115829314,264.2433174446976,266.3027153112697
1911-01-01,1911,265.3093051660306,264.20264985144047,266.2939243352167
1912-01-01,1912,265.309989173768,264.27095872385763,266.3135341010093
1913-01-01,1913,265.24062059954747,264.1973325232479,266.2682589009422
1914-01-01,1914,265.1714415569506,264.16181523374337,266.2057601738725
1915-01-01,1915,265.10226251435364,264.03078159654103,266.1900654275842
1916-01-01,1916,265.03308347175675,263.97287459918147,266.03315998666665
1917-01-01,1917,264.9418602006853,263.87552425145793,265.96281015129824
1918-01-01,1918,264.850886173524,263.77153036046633,265.9155130934225
1919-01-01,1919,264.7599121463626,263.761688334956,265.74951615459685
1920-01-01,1920,264.6689381192012,263.57532507700216,265.7216707185446
1921-01-01,1921,264.57771484062357,263.61792150317524,265.5357444782033
1922-01-01,1922,264.48674080597647,263.4031734989837,265.5199735637171
1923-01-01,1923,264.3957667713294,263.30117455747916,265.4457971380692
1924-01-01,1924,264.3047927366824,263.2113511850543,265.2861733499555
1925-01-01,1925,264.2565039590995,263.19905484173484,265.2644311736832
1926-01-01,1926,264.2083471180675,263.1944332787957,265.3247917453859
1927-01-01,1927,264.16019027703544,263.14475114410885,265.2503640600439
1928-01-01,1928,264.11203343600334,263.01833409076534,265.135150609516
1929-01-01,1929,264.1093495010608,262.9503502693591,265.1274382426687
1930-01-01,1930,264.10667289927386,263.11097012329736,265.12724252331236
