ds,annee,yhat,yhat_lower,yhat_upper
1990-01-01,1990,11.386105896519284,10.490796018475844,12.25309464212266
1991-01-01,1991,11.42380573287191,10.546778285827035,12.222840174661567
1992-01-01,1992,11.461505569231715,10.598216618232554,12.352292991510794
1993-01-01,1993,11.49930869289473,10.610278243764496,12.389543321964583
1994-01-01,1994,11.537008529332423,10.664472311463346,12.486451916273147
1995-01-01,1995,11.574722399444783,10.667216033089936,12.428526547621658
1996-01-01,1996,11.612436270010413,10.715525886282832,12.529649321940285
1997-01-01,1997,11.650253467829653,10.838236257982693,12.482584849287905
1998-01-01,1998,11.687967339971792,10.825877579749728,12.565031883645348
1999-01-01,1999,11.725681212081053,10.81170938166866,12.586207739726634
2000-01-01,2000,11.763395084168327,10.912802032416156,12.6069745487126
2001-01-01,2001,11.801212281946935,10.87178361200775,12.645694618953497
2002-01-01,2002,11.83892615405212,10.977669773773961,12.66276582838446
2003-01-01,2003,11.876640026206424,11.076424752071743,12.762242040092843
2004-01-01,2004,11.914353898278366,10.992761711357124,12.834947486754912
2005-01-01,2005,11.952112464633293,11.15630534239098,12.858661152347068
2006-01-01,2006,11.989653321265436,11.134490934739173,12.868620029796405
2007-01-01,2007,12.027054454467676,11.125523990085975,12.825768361667038
2008-01-01,2008,11.822146104603808,10.887274171677438,12.774883601648812
2009-01-01,2009,11.607670868952304,10.755520383270182,12.446985686624096
2010-01-01,2010,11.393539846707954,10.52003822699349,12.241403693154153
2011-01-01,2011,11.179408824463607,10.322055023940955,12.037837965071313
2012-01-01,2012,10.965208396161648,10.07955814557976,11.788900666515204
2013-01-01,2013,10.750421117068019,9.873381665747353,11.579515749361022
2014-01-01,2014,10.536220688409667,9.662946266294409,11.448668040656605
2015-01-01,2015,10.32202025966129,9.509929859508196,11.169546050378255
2016-01-01,2016,10.107819830972602,9.260776845308394,10.967690161185324
2017-01-01,2017,9.893032551828888,9.05714152707822,10.716613195848952
2018-01-01,2018,9.678832123109167,8.808001149327,10.57892831820276
2019-01-01,2019,9.464631694389446,8.643132133777156,10.274867048587591
2020-01-01,2020,9.250431265669723,8.371860035917537,10.163940130589328
2021-01-01,2021,9.035643986460359,8.184608445096949,9.888272506580652
2022-01-01,2022,8.821443557740636,7.957286247008652,9.66352611657811
2023-01-01,2023,8.607243129020915,7.723517801577872,9.437591874735139
2024-01-01,2024,8.393042700301192,7.511967861008541,9.281562819239982
2025-01-01,2025,8.178255421091828,7.29282864672468,9.066567813229877
2026-01-01,2026,7.964054992372106,7.122932966183037,8.848075191035427
2027-01-01,2027,7.749854563652386,6.897627705644813,8.645019752827633
2028-01-01,2028,7.5356541349326625,6.683608198964759,8.425011574548279
2029-01-01,2029,7.320866855723297,6.476659638445791,8.167604030292477
2030-01-01,2030,7.106666427003575,6.249765740927802,7.96121634937036
2031-01-01,2031,6.892465998283854,6.044834399814725,7.841895437542523
2032-01-01,2032,6.6782655695641315,5.7267819263333735,7.582806652733586
2033-01-01,2033,6.463478290354766,5.563128924882994,7.423551769940366
2034-01-01,2034,6.249277861635045,5.332036908493217,7.205124734154954
2035-01-01,2035,6.035077432915323,5.050606151340747,7.032049777195951
2036-01-01,2036,5.820877004195601,4.803499464312983,6.8179140205295905
2037-01-01,2037,5.606089724986236,4.456837766990904,6.698523342525063
2038-01-01,2038,5.391889296266514,4.236217137030524,6.439509255960366
2039-01-01,2039,5.1776888675467925,4.07812553212835,6.34399436047113
2040-01-01,2040,4.963488438827071,3.8320254920409123,6.232442625012293
2041-01-01,2041,4.748701159617705,3.4531806022930884,6.011227429112445
2042-01-01,2042,4.5345007308979834,3.176090758079963,5.865192776568917
2043-01-01,2043,4.3203003021782616,2.8809260940389176,5.61764114582416
2044-01-01,2044,4.106099873458541,2.6837681522055887,5.621557362630644
2045-01-01,2045,3.891312594249176,2.2809499761904783,5.522295933997841
2046-01-01,2046,3.677112165529453,2.1684221057286748,5.216570333798399
2047-01-01,2047,3.462911736809731,1.7904429549876915,5.178526948777297
2048-01-01,2048,3.2487113080900105,1.4056000139860068,5.059568517879929
2049-01-01,2049,3.0339240288806453,1.1080586334149507,4.8219898236341185
2050-01-01,2050,2.8197236001609234,0.8235232296637701,4.7587073809184774
2051-01-01,2051,2.605523171441203,0.5354302853696816,4.630409345684897
2052-01-01,2052,2.3913227427214796,0.2359069549514972,4.504200895493767
