ds,annee,yhat,yhat_lower,yhat_upper
1900-01-01,1900,-102.66618806990846,-163.05761538478976,-48.688588258489396
1901-01-01,1901,-101.18408999302031,-156.02367273134595,-42.98464310048158
1902-01-01,1902,-99.70199191613213,-155.14902741324326,-41.26916325841337
1903-01-01,1903,-98.21989383924397,-153.3451073511066,-41.968737956592996
1904-01-01,1904,-96.73779576235582,-152.60233309291007,-36.160110785515435
1905-01-01,1905,-95.25163713557204,-155.22120488907356,-35.46072094201961
1906-01-01,1906,-93.76953905148441,-150.72613269725173,-34.08475016400594
1907-01-01,1907,-92.28744096739679,-149.99415628714465,-32.028784651949216
1908-01-01,1908,-90.80534288330915,-149.07237159363933,-33.07737072769894
1909-01-01,1909,-89.31918425594638,-146.259760188857,-27.913721554338835
1910-01-01,1910,-87.83708617128131,-151.80764839204875,-28.22164843599637
1911-01-01,1911,-86.35498808661623,-143.51010212950743,-28.51742806900361
1912-01-01,1912,-84.87289000195116,-143.74471407238673,-27.843663596180708
1913-01-01,1913,-83.38673136845838,-140.67708665496966,-27.913537430827205
1914-01-01,1914,-81.90463327768008,-139.38769203922757,-27.17269114709817
1915-01-01,1915,-80.42253518690177,-138.7774535898276,-21.369060408239903
1916-01-01,1916,-78.94043709612347,-136.9767349316495,-17.422932487941335
1917-01-01,1917,-77.45427845503008,-135.72949286553438,-15.587128013717297
1918-01-01,1918,-75.97218035667193,-135.6922810421849,-17.878779417394725
1919-01-01,1919,-74.49008225831378,-132.20140251092843,-16.382050631779645
1920-01-01,1920,-73.0079841599556,-126.72532236527161,-14.521399117538376
1921-01-01,1921,-71.52182551999431,-131.76366615719684,-10.677010752690327
1922-01-01,1922,-70.03972742276515,-128.73639906159593,-11.399159897029376
1923-01-01,1923,-68.557629325536,-127.37678234042234,-8.844146784836889
1924-01-01,1924,-67.07553122830683,-122.47024738582867,-12.311024806588291
1925-01-01,1925,-65.589372584758,-123.74059664749493,-8.913573043649343
1926-01-01,1926,-64.1072744839511,-123.12355856558185,-7.171909665744947
1927-01-01,1927,-62.62517638314421,-123.1603539695223,-9.099471874062484
1928-01-01,1928,-61.14307828233732,-114.8113921967792,1.4092851330473013
1929-01-01,1929,-59.6569196440996,-117.52826580168865,-7.25648594907993
1930-01-01,1930,-58.17482154858931,-116.51778419884472,1.2053300354447827
1931-01-01,1931,-56.69272345307901,-113.54280180408873,8.88863475512393
1932-01-01,1932,-55.21062535756871,-112.8406221427525,5.602440088079104
1933-01-01,1933,-53.72446672114311,-109.38348533346573,5.463941436034144
1934-01-01,1934,-52.242368627439994,-104.42897224979015,3.9955348638535955
1935-01-01,1935,-50.76027053373687,-108.182148575841,4.53629623071179
1936-01-01,1936,-49.27817244003376,-105.06525543914293,9.808161549620728
1937-01-01,1937,-47.792013789034975,-102.66150040675869,11.343105923545943
1938-01-01,1938,-46.309915680798504,-103.07790959318879,9.272988608118842
