ds,annee,yhat,yhat_lower,yhat_upper
1900-01-01,1900,265.30177710133336,264.22788708853494,266.3318790264032
1901-01-01,1901,265.3024611240385,264.3144012806097,266.29651831567867
1902-01-01,1902,265.3031451467436,264.2371846393092,266.3561379873954
1903-01-01,1903,265.3038291694487,264.26673495145764,266.4320537010265
1904-01-01,1904,265.3045131921538,264.2088324291269,266.3551788603318
1905-01-01,1905,265.305199116905,264.2446948982955,266.4018694666609
1906-01-01,1906,265.30588316754483,264.1984012009601,266.3058570904159
1907-01-01,1907,265.3065672181846,264.2706418179615,266.270926338387
1908-01-01,1908,265.3072512688245,264.23992052270404,266.38565037708446
1909-01-01,1909,265.3079371505557,264.2418160486482,266.313182602833
1910-01-01,1910,265.30862115829314,264.34326308131506,266.32407825997643
1911-01-01,1911,265.3093051660306,264.28719729824275,266.31388343134495
1912-01-01,1912,265.309989173768,264.28027612861143,266.29778615251763
1913-01-01,1913,265.24062059954747,264.13666530925093,266.32293778223595
1914-01-01,1914,265.1714415569506,264.159271741833,266.18475738511637
1915-01-01,1915,265.10226251435364,264.0103005743686,266.1391853125331
1916-01-01,1916,265.03308347175675,264.00832046100146,266.0593696976076
1917-01-01,1917,264.9418602006853,263.87827722346805,265.9241070913022
1918-01-01,1918,264.850886173524,263.8196004509045,265.91996052270594
1919-01-01,1919,264.7599121463626,263.70473608191594,265.88156063938277
1920-01-01,1920,264.6689381192012,263.62678073901475,265.82421619873315
1921-01-01,1921,264.57771484062357,263.5373276080141,265.587670010618
1922-01-01,1922,264.48674080597647,263.3526047521947,265.5270434340576
1923-01-01,1923,264.3957667713294,263.38220404885504,265.49266072396904
1924-01-01,1924,264.3047927366824,263.277787728919,265.38544988554327
1925-01-01,1925,264.2565039590995,263.20359236100137,265.2719968627546
1926-01-01,1926,264.2083471180675,263.1300598409238,265.2039505549263
1927-01-01,1927,264.16019027703544,263.1410037347418,265.15517310357086
1928-01-01,1928,264.11203343600334,263.0914785310814,265.1238422749632
1929-01-01,1929,264.1093495010608,263.0241723753875,265.2035458788297
1930-01-01,1930,264.10667289927386,263.11228741206503,265.1907169300227
1931-01-01,1931,264.10399629748696,263.10795944205955,265.13754857990455
1932-01-01,1932,264.10131969569994,263.00495585751736,265.1572440943762
1933-01-01,1933,264.0986357635966,262.98302614783756,265.1500247448162
1934-01-01,1934,264.095959164641,263.11086476368234,265.111870613972
1935-01-01,1935,264.0932825656854,263.0083643898863,265.14580120826145
1936-01-01,1936,264.0906059667298,263.03168847135663,265.12746004188585
1937-01-01,1937,264.0469919993651,263.02702124551945,265.19598754101486
1938-01-01,1938,264.0034971958456,262.9493064906331,265.0718440864455
1939-01-01,1939,263.96000239232615,262.91909361112033,264.93318682379083
1940-01-01,1940,263.9165075888067,262.8915507438069,264.99625810657557
1941-01-01,1941,263.87289359527364,262.83742745138414,264.9478927007529
1942-01-01,1942,263.8293987656573,262.7835292956077,264.85475539244413
1943-01-01,1943,263.78590393604094,262.7451005671251,264.8236867349069
1944-01-01,1944,263.7424091064246,262.71433242762356,264.7971888750671
1945-01-01,1945,263.6987951462497,262.6546060506269,264.7314456980523
1946-01-01,1946,263.6553003499005,262.5555300892223,264.70029798676865
1947-01-01,1947,263.6118055535512,262.519984648756,264.68149615002903
1948-01-01,1948,263.56831075720197,262.4762247867766,264.58776618698204
1949-01-01,1949,263.5246968193046,262.5243459090603,264.599814472182
1950-01-01,1950,263.48120204517204,262.46830891010416,264.5396131476858
