ds,annee,yhat,yhat_lower,yhat_upper
1959-01-01,1959,316.1386026645,315.58672500603785,316.6710582449039
1960-01-01,1960,316.8570035523276,316.31367775026285,317.4227666662055
1961-01-01,1961,317.5773726617657,317.004811403834,318.13016658141277
1962-01-01,1962,318.2584481263121,317.7512721751439,318.8123939697463
1963-01-01,1963,318.93952359085836,318.41439075092046,319.526784541524
1964-01-01,1964,319.6205915860387,319.077334873246,320.1868685593459
1965-01-01,1965,320.30352552093194,319.7346373031406,320.8553191098749
1966-01-01,1966,321.2457511180108,320.69636054004224,321.775541325054
1967-01-01,1967,322.18797671508963,321.64412909681255,322.7588859543976
1968-01-01,1968,323.30165359202795,322.7243302910971,323.87070447803825
1969-01-01,1969,324.4183816384921,323.87423869260175,324.95315516884597
1970-01-01,1970,325.5320585153702,324.978758200706,326.09139528816587
1971-01-01,1971,326.6457353922482,326.0804075527887,327.1929358756094
1972-01-01,1972,327.80043883430216,327.27141059001235,328.346253966711
1973-01-01,1973,328.9583058474303,328.4400218756965,329.4973883954025
1974-01-01,1974,330.11300928948435,329.5315366890324,330.67434747718204
1975-01-01,1975,331.2028476993238,330.63350178164615,331.73297808095475
1976-01-01,1976,332.29268610916324,331.76224613904265,332.78312282506454
1977-01-01,1977,333.85069885174056,333.3149770272253,334.4051094009812
1978-01-01,1978,335.40445472890093,334.8475298483938,335.96273406245837
1979-01-01,1979,336.9582106137214,336.39247287122936,337.49657559272254
1980-01-01,1980,338.5119664985418,337.9352561655634,339.0574049701759
1981-01-01,1981,340.0699792419875,339.51313840400223,340.606292080592
1982-01-01,1982,341.6237351200139,341.09846197347844,342.17509848086956
1983-01-01,1983,343.177490992548,342.66573160311896,343.721724384122
1984-01-01,1984,344.73124686508197,344.2302556876807,345.2667034555888
1985-01-01,1985,346.28925960465165,345.7346031741212,346.81664479240857
1986-01-01,1986,347.8430154788127,347.3153232900281,348.38917788653276
1987-01-01,1987,349.63315688574954,349.08084876563544,350.15082955271595
1988-01-01,1988,351.4232982926864,350.8923110492962,351.9768996773267
1989-01-01,1989,352.9198874747287,352.3787300248857,353.4988027211946
1990-01-01,1990,354.41238761529,353.9077587146506,354.9533291369094
1991-01-01,1991,355.52498129582904,354.9673755992455,356.07763015535744
1992-01-01,1992,356.63757497636806,356.0963813612934,357.16203107553514
